age,gender,marital_status,education_level,years_experience,skill_score,certifications,job_role,department,job_level,employment_type,remote_status,performance_score,projects_completed,overtime_hours,company_size,location,monthly_salary
59,Female,Divorced,bachelor ,4.703910624201334,4,4,IT Support,IT,Junior,Permanent,Hybrid,5,7,6.6,Large,Lagos,499352
49,Female,Single,bachelor ,10.6592421453988,7,2,DevOps Engineer,IT,Senior,Permanent,Remote,3,4,12.3,Large,Johannesburg,1379418
35,Male,Single,ph.d,5.015705723363671,4,0,Data Scientist,Security,Junior,Permanent,Remote,1,4,11.3,Large,Kigali,643095
28,Female,Single,High School,5.546583619568167,2,0,Product Manager,Product,Senior,Permanent,Remote,3,5,7.5,Large,Johannesburg,1092485
41,Male,Married,bachelor ,5.846610928969341,2,5,DevOps Engineer,Data,Senior,Permanent,Onsite,4,4,4,Small,Lagos,1242114
59,Male,Single,Bachelor,4.370578633354748,10,1,IT Support,Engineering,Junior,Permanent,Remote,2,7,15.9,Large,Nairobi,740260
39,Female,Single,ph.d,12.597085500933217,1,4,Data Scientist,Data,Junior,Permanent,Onsite,4,6,2.6,Large,Nairobi,825829
43,Male,Married,BSc,10.594107972325915,7,5,Software Engineer,IT,Mid,Permanent,Remote,1,9,3.4,Large,Lagos,1096215
31,Female,Single,ph.d,7.439794153333116,9,0,Data Analyst,Engineering,Mid,Permanent,Remote,2,8,10.3,Large,Johannesburg,1161511
31,Male,Single,Master,11.09827265594324,10,0,IT Support,Product,Junior,Permanent,Onsite,4,10,16.2,Small,Lagos,1197247
44,Female,Single,ph.d,0.49171313901816305,2,5,Data Scientist,Engineering,Junior,Contract,Remote,2,3,10.1,Small,Nairobi,455162
56,Female,Single,High School,2.0861648857958706,7,0,Software Engineer,Product,Junior,Permanent,Onsite,2,4,14.3,Small,Lagos,653053
44,Other,Married,bachelor ,8.89821904943185,8,1,Data Scientist,Data,Mid,Permanent,Hybrid,2,7,8.6,Small,Kigali,1022912
23,Female,Married,bachelor ,9.942146223231555,3,4,IT Support,Engineering,Junior,Permanent,Onsite,3,11,5.6,Large,Kigali,708066
42,Female,Married,Master,8.117630185023007,4,2,Software Engineer,Operations,Mid,Permanent,Hybrid,4,2,19,Medium,Nairobi,994523
22,Female,Single,High School,,9,1,DevOps Engineer,IT,Junior,Contract,Remote,5,8,10.5,Large,Kigali,865919
44,Male,Single,BSc,2.750661902649009,4,4,Data Analyst,Product,Mid,Permanent,Onsite,2,9,16.1,Small,Kigali,710104
50,Male,Single,Bachelor,8.666367466016673,6,0,Software Engineer,Engineering,Senior,Permanent,Hybrid,1,9,13.1,Large,Nairobi,1089461
58,Female,Single,High School,16.70588915696507,8,1,Data Scientist,Engineering,Senior,Permanent,Onsite,3,6,17.5,Small,Nairobi,1640212
22,Female,Single,Master,11.871650660233712,10,3,Data Scientist,Security,Junior,Permanent,Onsite,3,5,14.5,Small,Kigali,1178314
41,Female,Single,Bachelor,13.30921719388309,2,3,Data Scientist,Operations,Senior,Permanent,Onsite,5,6,13.5,Medium,Nairobi,1369141
53,Female,Single,bachelor ,8.358901688761197,1,0,DevOps Engineer,Security,Mid,Permanent,Hybrid,5,3,4.9,Small,Kigali,934849
32,Female,Married,ph.d,8.329963923157509,7,4,Data Scientist,Security,Senior,Permanent,Hybrid,3,3,16.8,Medium,Nairobi,1405870
42,Male,Single,high school ,2.866058130975696,1,4,Data Scientist,Security,Mid,Contract,Hybrid,3,2,20.3,Medium,Johannesburg,679270
45,Male,Single,High School,10.807288212206469,4,1,DevOps Engineer,Data,Mid,Permanent,Remote,4,4,17.7,Medium,Lagos,1060566
47,Male,Single,Master,6.707273189835989,5,3,Product Manager,Operations,Mid,Permanent,Onsite,3,8,10.1,Medium,Kigali,986745
48,Male,Single,High School,9.770929501854877,2,4,Software Engineer,Engineering,Junior,Permanent,Remote,3,5,5.1,Large,Lagos,742747
36,Female,Married,High School,7.12274541152374,10,1,Software Engineer,IT,Junior,Permanent,Hybrid,2,8,11.5,Large,Johannesburg,809833
35,Female,Single,MSc,8.116473699002958,4,1,Software Engineer,Engineering,Junior,Permanent,Remote,5,4,11.2,Medium,Kigali,949735
23,Female,Single,high school ,6.649087534805512,10,3,Software Engineer,Engineering,Senior,Permanent,Hybrid,4,4,14.7,Large,Johannesburg,1374690
57,Male,Single,bachelor ,7.898498791291572,7,0,IT Support,Engineering,Senior,Permanent,Remote,3,9,0.4,Large,Kigali,1204417
27,Male,Single,bachelor ,11.000306230180922,4,1,Data Scientist,Security,Senior,Permanent,Onsite,4,3,6,Medium,Lagos,1267400
41,Male,Married,high school ,1.9350818837231047,1,0,Product Manager,Operations,Senior,Permanent,Onsite,5,5,16.5,Medium,Nairobi,718070
29,Male,Divorced,Master,1.0283102947395601,10,3,DevOps Engineer,Operations,Senior,Contract,Onsite,3,5,0.2,Small,Johannesburg,1367525
59,Male,Single,high school ,8.703458310555597,4,1,IT Support,Product,Mid,Permanent,Onsite,2,3,15.7,Large,Kigali,963329
38,Male,Married,PhD,12.762297191630466,6,2,Software Engineer,Product,Junior,Permanent,Hybrid,3,4,13.1,Small,Nairobi,1123033
24,Male,Single,bachelor ,13.770978467204326,5,3,DevOps Engineer,Security,Mid,Permanent,Onsite,5,7,12.7,Medium,Nairobi,1232418
45,Male,Single,High School,2.102359129159713,4,3,Software Engineer,Security,Junior,Permanent,Remote,4,10,14,Small,Lagos,696307
34,Female,Single,MSc,5.388504658390506,2,2,DevOps Engineer,Product,Junior,Permanent,Onsite,2,7,5.1,Large,Johannesburg,651995
29,Male,Married,Master,1.0831389822203628,10,3,Product Manager,Engineering,Mid,Permanent,Remote,1,7,13.7,Medium,Lagos,834020
46,Male,Single,Master,4.79755349445152,6,2,Software Engineer,Product,Junior,Permanent,Remote,1,6,11.3,Small,Johannesburg,689313
22,Male,Divorced,Bachelor,11.491392380197446,6,2,Software Engineer,Product,Junior,Permanent,Hybrid,5,7,11.2,Large,Nairobi,1010300
40,Male,Single,MSc,6.948432865766401,6,3,Software Engineer,Data,Mid,Contract,Hybrid,5,3,12.9,Medium,Nairobi,1027198
48,Female,Single,Master,5.504503681504849,4,2,Software Engineer,Security,Junior,Permanent,Remote,2,7,16,Large,Nairobi,753757
27,Female,Married,ph.d,9.18034302564484,8,2,IT Support,Security,Junior,Permanent,Hybrid,4,3,12.5,Large,Kigali,894374
28,Male,Married,Bachelor,3.8197916407621153,1,3,IT Support,Operations,Junior,Permanent,Hybrid,3,2,14.7,Large,Lagos,491680
55,Female,Married,Bachelor,13.37191345952743,10,2,IT Support,Product,Mid,Permanent,Hybrid,1,6,8.6,Large,Nairobi,1309029
34,Male,Married,bachelor ,7.029139888965894,8,0,Software Engineer,Operations,Junior,Permanent,Hybrid,1,4,14.5,Medium,Johannesburg,1137013
37,Female,Single,Bachelor,5.392823028160403,8,3,Data Analyst,IT,Mid,Permanent,Onsite,5,6,9.2,Small,Kigali,920637
56,Male,Single,bachelor ,9.347396939182445,5,3,IT Support,Security,Senior,Permanent,Onsite,5,1,11.4,Medium,Nairobi,1080955
24,Male,Single,Master,10.757144640844185,9,0,Data Scientist,Data,Senior,Permanent,Remote,4,1,6.1,Small,Nairobi,1409360
22,Female,Single,High School,13.383900960597035,9,4,Data Scientist,IT,Senior,Permanent,Remote,2,3,14.3,Medium,Kigali,1641292
